n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
2750;2.00491;2.01062;1.99463;1.98206;2.00376;1.97178;1.99006;1.9832;1.99691;2.00833;2.01633;1.99463;1.94893;1.97749;1.98549;2.0209;1.95921;2.01405;1.98777;1.99006;1.98434;1.99006;1.97977;2.01633;2.00376;1.96607;2.01062;1.92608;2.00719;2.00491;2.02776;1.97064;2.04832;1.98434;1.95807;2.01405;2.00491;2.0129;2.04032;1.99006;2.0586;2.06431;2.01405;2.0209;2.03118;1.9615;1.9992;1.97977;2.01862;2.03347;
2800;1.97808;2.03755;1.96798;2.00389;2.02857;1.98145;2.02633;1.95789;1.96911;2.00164;2.02521;1.98481;1.99379;1.98145;2.03755;2.02857;2.00277;1.99603;2.04204;2.00164;1.97247;2.00613;2.02072;1.98033;1.99491;1.97023;1.9994;2.02072;1.97584;1.96237;2.02633;2.03979;1.99042;2.00389;1.99828;1.99603;1.99491;1.96574;2.00164;2.00052;1.99603;1.99379;1.99042;2.0196;1.97135;1.98145;2.02857;2.02184;1.99379;2.02296;
2850;2.00731;2.02605;1.99188;1.96873;2.02936;1.97535;2.03597;2.03156;2.01393;1.98527;1.97645;2.01503;2.04479;1.98968;1.97535;1.97975;2.0029;2.04589;1.97755;1.93787;1.98086;1.97535;2.0018;2.00841;1.98637;1.99849;2.02164;1.98527;2.02605;2.01503;1.99849;2.02495;1.94338;1.97865;2.02164;1.99739;2.01613;2.02936;1.97755;2.05912;2.00731;2.01393;2.02385;2.00731;1.96322;1.98637;1.97975;2.01944;1.93566;1.97975;
2900;1.98462;1.97595;1.9922;2.02795;1.95104;1.99979;1.99654;2.00845;1.94562;2.00195;2.07128;2.01712;2.02145;2.0052;1.96729;1.99437;1.99437;1.96404;1.98787;1.99004;2.01387;1.98787;2.0312;1.97704;1.9922;1.99979;1.97487;2.01062;2.00954;1.9987;1.96729;1.98895;2.0052;2.00954;1.97595;1.99654;2.03662;2.04095;2.00737;1.99004;2.03229;2.01279;2.02145;1.96945;2.05612;1.99112;2.02687;2.02037;2.03012;2.02145;
2950;2.01275;1.97441;1.99784;2.02659;1.9989;2.05322;2.01594;1.93501;1.96909;1.99145;2.00742;1.984;1.97015;2.00955;2.01381;2.05215;2.00849;1.99997;2.00103;1.99678;2.00849;2.00849;2.02659;1.95737;2.02766;1.96909;2.05322;1.96376;2.0415;2.02127;1.98293;1.98719;1.9989;1.99678;2.01062;2.01062;2.00849;1.99145;1.94992;2.07771;1.93181;1.9808;1.98719;2.00529;1.97654;2.01807;2.07984;2.01807;2.02872;1.96376;
3000;1.96873;2.04622;2.02633;1.98968;1.9813;2.01376;1.98758;2.01795;1.96035;1.96768;2.00748;2.00434;2.00538;2.01271;2.02528;2.00329;1.97083;1.93732;1.9991;1.99491;2.02004;2.06612;1.95931;1.99805;2.01795;1.96873;1.98339;1.98025;1.97606;1.97187;2.01271;2.02423;2.00643;2.01167;1.97397;2.00329;1.94569;1.9991;1.9991;1.99386;1.9991;1.98025;1.9991;2.01586;1.99491;1.91637;1.9813;2.05355;2.02214;1.97187;
3050;1.99723;2.01577;1.97766;1.98693;2.02916;1.99414;2.00135;2.0477;1.98899;2.03225;1.95397;2.01371;1.97251;1.95706;2.01886;1.99414;1.97251;1.95294;1.97457;2.0271;1.93234;1.99002;1.97869;1.99105;1.99723;1.97251;1.98281;2.00959;1.96633;2.02092;1.97457;2.01062;1.9859;1.98384;1.9653;1.9962;1.99002;1.99208;2.00959;1.97972;1.97766;2.00547;2.01371;1.97766;2.00547;2.0271;2.00856;1.94264;2.00135;1.94573;
3100;2.01873;1.99744;1.99035;1.93867;2.0167;1.98934;2.03291;2.00353;1.98528;2.02379;2.06129;2.00251;2.02278;2.00353;1.99035;1.99643;1.99744;2.0015;2.01366;1.9863;1.95691;2.01366;1.97819;1.99339;1.99947;2.01265;2.00454;2.00454;2.03393;2.05622;2.00049;1.9711;2.02785;1.99339;1.99846;2.03291;2.00251;2.00454;1.98934;1.99744;2.00859;1.9336;2.03697;2.02886;2.02481;1.99035;2.06433;2.01569;1.99846;1.91637;
3150;1.9787;1.98469;1.95976;1.99666;2.0186;2.00264;2.00663;2.01162;1.99067;1.97172;2.01561;2.01361;1.93682;1.96275;1.98668;2.03256;2.01561;1.99666;2.0535;1.95876;2.04353;2.01561;1.9797;2.04054;2.00464;2.01261;2.0196;2.04852;2.03954;2.03655;1.9817;2.03954;1.97472;2.03256;1.99666;1.98968;2.03655;2.0196;2.02558;2.00962;2.01361;1.99666;2.0196;2.01062;2.02259;1.93881;2.00763;1.99167;1.99666;1.99765;
3200;2.02436;1.97822;2.03909;2.03614;1.99687;2.00178;1.97724;2.0008;1.95957;2.03516;1.98902;2.0332;1.98313;2.01356;2.01553;2.00669;2.05578;2.04007;2.00767;1.98019;1.99687;2.0008;2.02338;2.00866;2.00178;2.00473;2.03025;2.00669;1.97724;2.07247;2.02338;2.03516;2.0008;2.00866;1.98019;2.01749;2.01062;1.99786;2.01553;2.00178;2.02436;1.97331;2.04793;1.96742;1.99687;1.99786;2.00767;1.98117;2.01749;1.99786;
3250;1.99612;1.98742;1.99805;2.07345;1.99999;1.98839;1.97002;2.04349;1.98935;1.96905;1.99999;2.01255;2.02609;2.01739;2.00772;1.99999;2.02319;1.98549;2.01062;1.95649;2.04929;2.00289;2.02125;1.95455;2.01062;1.99902;1.97582;2.01159;1.96132;2.02609;1.98549;2.02512;1.98065;2.04252;2.00095;2.01159;2.00965;1.96132;1.96712;2.00095;1.97679;1.99225;2.01739;2.06475;2.01449;2.02415;2.02995;2.02899;1.96519;1.98742;
3300;1.99063;1.93351;2.03061;2.01252;1.97349;1.99634;2.03728;1.98968;2.01824;2.01728;2.0249;2.01538;1.96207;1.9516;2.0249;1.98206;2.01538;1.99539;2.0249;1.98396;1.98587;1.98016;2.02109;1.94874;2.00205;2.01252;1.98396;1.9754;2.02395;1.96492;1.99253;2.0268;1.97159;1.98301;2.00586;1.98587;2.05441;2.003;2.01157;2.0249;1.97635;2.00681;2.03728;2.02109;1.99444;1.98872;1.98016;2.02871;2.01157;2.01824;
