n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
600;0.20775;0.2025;0.21675;0.201;0.2025;0.20625;0.192;0.19275;0.21225;0.21525;0.19725;0.19125;0.20175;0.19425;0.198;0.186;0.20175;0.192;0.20475;0.2175;0.21075;0.19875;0.18675;0.19425;0.20925;0.2085;0.19575;0.20325;0.18375;0.20175;0.2055;0.20925;0.20775;0.1905;0.19875;0.198;0.201;0.201;0.213;0.198;0.198;0.2085;0.20175;0.20025;0.1815;0.19275;0.18075;0.19575;0.1965;0.18375;
650;0.205615;0.198692;0.199385;0.189;0.225;0.200077;0.186231;0.195231;0.194538;0.207692;0.189692;0.194538;0.201462;0.206308;0.202846;0.207;0.212538;0.198692;0.206308;0.193846;0.184846;0.190385;0.198692;0.201462;0.209769;0.223615;0.200769;0.194538;0.198;0.194538;0.203538;0.184846;0.198692;0.195923;0.200077;0.204231;0.192462;0.199385;0.189;0.202154;0.191769;0.206308;0.194538;0.198692;0.202846;0.197308;0.210462;0.198692;0.190385;0.192462;
700;0.189643;0.201857;0.208929;0.199286;0.192214;0.209571;0.215357;0.218571;0.199929;0.195429;0.196071;0.196071;0.190286;0.2025;0.198643;0.189643;0.189643;0.192857;0.187071;0.207643;0.196714;0.201857;0.205071;0.198;0.190286;0.199929;0.205714;0.207;0.190929;0.196714;0.198643;0.194786;0.205714;0.209571;0.200571;0.201214;0.190929;0.213429;0.185786;0.200571;0.190929;0.186429;0.198643;0.210214;0.203786;0.206357;0.198;0.1935;0.205071;0.191571;
750;0.1842;0.204;0.1908;0.1962;0.21;0.2004;0.2034;0.2106;0.1932;0.1896;0.1998;0.195;0.2076;0.2118;0.2148;0.201;0.1968;0.1944;0.213;0.2088;0.1824;0.1938;0.1974;0.1938;0.1872;0.1968;0.204;0.216;0.2064;0.2016;0.1956;0.1926;0.1884;0.1842;0.2058;0.189;0.1932;0.2148;0.1974;0.1992;0.2076;0.1914;0.2112;0.1878;0.1986;0.1956;0.2064;0.1854;0.1878;0.207;
800;0.189562;0.208125;0.207;0.196875;0.194625;0.20475;0.20025;0.189562;0.190125;0.1935;0.198;0.194625;0.185625;0.180562;0.187312;0.178875;0.196313;0.198562;0.20025;0.181687;0.187875;0.190125;0.195187;0.190688;0.195187;0.190125;0.20475;0.207562;0.196875;0.207;0.203062;0.196313;0.18225;0.194625;0.196313;0.187875;0.207562;0.208687;0.201937;0.203062;0.194625;0.198562;0.20925;0.194625;0.1935;0.191813;0.192937;0.203062;0.200812;0.204187;
850;0.205941;0.196412;0.210176;0.192706;0.211235;0.190588;0.214412;0.208059;0.196941;0.195882;0.189;0.197471;0.214941;0.207529;0.196941;0.200647;0.195353;0.191647;0.193235;0.192176;0.210706;0.201706;0.213353;0.200647;0.193765;0.194824;0.202235;0.201706;0.217588;0.198529;0.193235;0.215471;0.205412;0.196941;0.202765;0.203294;0.204353;0.191647;0.209647;0.201706;0.204353;0.194824;0.195882;0.205941;0.194294;0.204353;0.190588;0.203294;0.202235;0.207;
900;0.195;0.21;0.1885;0.1985;0.193;0.202;0.196;0.209;0.192;0.203;0.1955;0.2085;0.201;0.205;0.196;0.1915;0.197;0.185;0.198;0.195;0.1895;0.1985;0.2005;0.1915;0.1875;0.1975;0.2175;0.194;0.189;0.2075;0.1945;0.193;0.2015;0.198;0.189;0.2025;0.1975;0.1945;0.1845;0.201;0.2045;0.1915;0.211;0.2105;0.204;0.1945;0.209;0.1865;0.207;0.2015;
950;0.198474;0.205579;0.197053;0.189474;0.194211;0.202263;0.207;0.209842;0.198474;0.202263;0.209368;0.198474;0.203684;0.194211;0.205105;0.199421;0.205579;0.196105;0.198947;0.197526;0.203684;0.211263;0.197053;0.188526;0.205105;0.204158;0.208895;0.192316;0.200842;0.191368;0.202737;0.194211;0.196105;0.195632;0.202737;0.206526;0.187105;0.203211;0.204632;0.191842;0.206053;0.203684;0.202263;0.202263;0.207;0.201316;0.198947;0.205579;0.191368;0.200842;
1000;0.2061;0.2088;0.1863;0.19755;0.1809;0.20835;0.19845;0.2007;0.2088;0.2106;0.20295;0.19935;0.207;0.18855;0.2097;0.1971;0.18405;0.19755;0.2043;0.1854;0.20475;0.1989;0.20025;0.20565;0.19215;0.2025;0.18855;0.18675;0.2025;0.19755;0.19845;0.21375;0.1899;0.21735;0.2007;0.1908;0.20025;0.20205;0.2016;0.2034;0.1926;0.21735;0.20205;0.207;0.1944;0.1989;0.198;0.198;0.20655;0.2079;
1050;0.201;0.193714;0.200143;0.192429;0.207;0.197571;0.195429;0.198429;0.201857;0.21;0.195857;0.197143;0.195857;0.206143;0.201857;0.198429;0.205714;0.196286;0.212143;0.191571;0.194143;0.218571;0.204;0.192429;0.194143;0.198;0.198429;0.203143;0.208714;0.201429;0.199286;0.199714;0.205714;0.197143;0.193286;0.214286;0.190286;0.203143;0.196714;0.193286;0.210857;0.200143;0.197571;0.190714;0.203143;0.202714;0.194571;0.193714;0.199714;0.210429;
1100;0.206591;0.2025;0.2025;0.1935;0.209045;0.187773;0.205773;0.195545;0.209045;0.194727;0.185318;0.191455;0.202909;0.192682;0.196364;0.193909;0.1935;0.202909;0.195545;0.205773;0.204136;0.186545;0.198409;0.199227;0.199636;0.198409;0.204545;0.201682;0.206591;0.202091;0.198409;0.193091;0.193909;0.2025;0.191864;0.207818;0.204545;0.204545;0.191864;0.208636;0.202091;0.196364;0.195136;0.190227;0.204545;0.203318;0.200864;0.201273;0.2115;0.202909;
1150;0.183522;0.198783;0.198;0.204261;0.207391;0.207391;0.187435;0.212087;0.20387;0.205043;0.187435;0.194087;0.198391;0.192913;0.207391;0.196826;0.203087;0.189391;0.207;0.209739;0.205043;0.212087;0.194087;0.196826;0.186261;0.207;0.195261;0.207783;0.214043;0.196043;0.200739;0.195652;0.198391;0.194478;0.196435;0.192522;0.205043;0.196826;0.199957;0.198391;0.188217;0.199957;0.202696;0.19487;0.193696;0.206217;0.202304;0.213652;0.20113;0.205435;
1200;0.206625;0.21075;0.196875;0.182625;0.19725;0.1845;0.201;0.199875;0.195;0.194625;0.193875;0.206625;0.202125;0.193125;0.20175;0.198;0.195375;0.207375;0.213375;0.214875;0.197625;0.2085;0.195;0.200625;0.20025;0.206625;0.199875;0.198375;0.207;0.198375;0.208125;0.2055;0.198375;0.19875;0.194625;0.205875;0.200625;0.209625;0.199125;0.195375;0.201375;0.195375;0.194625;0.205125;0.2025;0.202125;0.199125;0.193875;0.20475;0.212625;
1250;0.20196;0.19908;0.19332;0.19476;0.20268;0.20448;0.18864;0.20628;0.20124;0.19872;0.19404;0.21708;0.21348;0.20304;0.1908;0.18936;0.19296;0.19512;0.19368;0.19656;0.19908;0.18756;0.1872;0.19656;0.2016;0.20268;0.20124;0.19476;0.20052;0.19908;0.2034;0.19404;0.2124;0.1926;0.20556;0.20484;0.198;0.20736;0.19476;0.20484;0.19332;0.19044;0.20736;0.19728;0.18648;0.19548;0.1836;0.1944;0.19836;0.20268;
1300;0.209077;0.207692;0.192808;0.196962;0.205962;0.204231;0.198346;0.195923;0.191769;0.189346;0.204577;0.202154;0.205269;0.211154;0.199038;0.199731;0.211846;0.208038;0.209077;0.186231;0.199038;0.201462;0.207;0.193846;0.198;0.203192;0.197308;0.193846;0.206654;0.201808;0.201808;0.204577;0.196269;0.194192;0.192115;0.202846;0.196962;0.186577;0.195577;0.195923;0.199038;0.199385;0.205962;0.197308;0.1935;0.190385;0.202154;0.195923;0.185538;0.192808;
1350;0.196667;0.196;0.192;0.201333;0.201;0.191667;0.189667;0.198;0.191;0.201667;0.203667;0.198667;0.189;0.207333;0.204333;0.201333;0.208667;0.194333;0.2;0.196333;0.204333;0.200667;0.192667;0.201333;0.201667;0.201333;0.192;0.211;0.199667;0.194333;0.197;0.201333;0.206333;0.204333;0.205667;0.213333;0.197667;0.201333;0.202;0.183667;0.192333;0.213667;0.202;0.190333;0.206333;0.196667;0.203667;0.199333;0.204;0.202667;
1400;0.194786;0.206357;0.200571;0.206357;0.202821;0.198964;0.212464;0.190607;0.189;0.201857;0.19575;0.203464;0.203143;0.2025;0.197357;0.197036;0.197357;0.205393;0.196071;0.197357;0.205393;0.207643;0.204429;0.188679;0.203786;0.198964;0.205714;0.198321;0.196714;0.203464;0.2025;0.200571;0.191893;0.201214;0.206679;0.197357;0.206357;0.197679;0.196714;0.188357;0.20475;0.196071;0.192536;0.196393;0.196071;0.191893;0.202179;0.200571;0.198964;0.211821;
1450;0.194276;0.211345;0.196759;0.203897;0.206379;0.192724;0.192724;0.199241;0.199552;0.205759;0.204207;0.19769;0.198931;0.202966;0.193655;0.212897;0.194586;0.201724;0.200793;0.201724;0.193655;0.193966;0.197069;0.197379;0.191483;0.199552;0.192414;0.202034;0.201414;0.202345;0.191483;0.200172;0.195828;0.203276;0.196448;0.199241;0.199862;0.196138;0.19831;0.207;0.206379;0.198621;0.193655;0.202034;0.204517;0.200172;0.204828;0.201414;0.205138;0.203897;
1500;0.198;0.1992;0.1959;0.207;0.1971;0.2151;0.2004;0.198;0.1905;0.1959;0.2055;0.2118;0.1947;0.2064;0.1947;0.2034;0.2037;0.1896;0.1983;0.2022;0.2001;0.2019;0.2085;0.2004;0.2028;0.1974;0.2055;0.1884;0.1926;0.2058;0.198;0.2082;0.1959;0.1998;0.1944;0.2088;0.2064;0.1929;0.2001;0.1935;0.2091;0.2094;0.2052;0.207;0.2076;0.2061;0.2082;0.2001;0.1965;0.1929;
1550;0.201194;0.18929;0.202645;0.197129;0.208452;0.204968;0.196548;0.203226;0.197419;0.190452;0.198581;0.196839;0.197129;0.213968;0.205548;0.192194;0.193355;0.205839;0.199742;0.200323;0.197419;0.202935;0.194516;0.209032;0.207871;0.211645;0.19829;0.191032;0.193065;0.197129;0.191613;0.199161;0.195968;0.200613;0.195677;0.19771;0.205839;0.202645;0.206129;0.209903;0.199742;0.196548;0.192484;0.192774;0.19771;0.203516;0.202935;0.199161;0.197419;0.201484;
1600;0.197437;0.196594;0.195469;0.196875;0.203062;0.202219;0.203625;0.204187;0.194625;0.198;0.198844;0.204187;0.203625;0.200531;0.211781;0.201375;0.197156;0.203625;0.1935;0.194344;0.200531;0.198;0.199125;0.204187;0.20025;0.194063;0.194344;0.205594;0.201937;0.191813;0.199406;0.198844;0.198;0.199687;0.204469;0.196313;0.204469;0.19575;0.189562;0.197156;0.192656;0.201375;0.200531;0.195187;0.203625;0.19575;0.195187;0.212344;0.190125;0.210094;
1650;0.191182;0.201;0.207;0.190909;0.201545;0.202909;0.195;0.198818;0.205364;0.209455;0.201818;0.198;0.202909;0.197182;0.197727;0.199364;0.199909;0.187091;0.189818;0.201818;0.213273;0.207545;0.203455;0.191727;0.203455;0.193091;0.211636;0.201273;0.196909;0.205364;0.202091;0.196636;0.193091;0.193909;0.204;0.187091;0.198545;0.199364;0.202091;0.206727;0.204;0.196636;0.208636;0.206727;0.206727;0.204;0.198545;0.199364;0.213818;0.201545;
1700;0.199059;0.204088;0.209382;0.198529;0.200382;0.207;0.196412;0.205147;0.201971;0.187676;0.195088;0.205147;0.204882;0.205941;0.189529;0.198529;0.192971;0.217324;0.189529;0.191118;0.201971;0.198794;0.1935;0.199059;0.196941;0.200912;0.197471;0.210971;0.190853;0.195882;0.201971;0.192441;0.198;0.200382;0.198794;0.200647;0.191912;0.196941;0.206206;0.2025;0.209382;0.1935;0.203559;0.203294;0.205941;0.198794;0.203029;0.204353;0.208059;0.203824;
1750;0.191571;0.206743;0.198771;0.201343;0.196971;0.197743;0.2016;0.201857;0.195429;0.199543;0.200057;0.202371;0.198;0.196457;0.198257;0.201343;0.207514;0.204686;0.194914;0.205457;0.2034;0.190029;0.197743;0.1944;0.200314;0.2052;0.203914;0.193114;0.202629;0.193886;0.198257;0.193371;0.202114;0.204171;0.203143;0.199543;0.192857;0.198514;0.2052;0.204943;0.198257;0.194143;0.210857;0.200057;0.1944;0.200314;0.204171;0.213429;0.201086;0.211371;
1800;0.212;0.19975;0.20525;0.1975;0.2035;0.19125;0.19325;0.1935;0.20175;0.206;0.19625;0.20175;0.20375;0.20025;0.2065;0.21075;0.1915;0.1935;0.19975;0.1915;0.188;0.1955;0.1955;0.19925;0.20375;0.208;0.2085;0.20525;0.2035;0.201;0.2085;0.20125;0.205;0.18525;0.191;0.20325;0.19725;0.194;0.19725;0.20125;0.2015;0.19575;0.20575;0.20075;0.18925;0.199;0.20825;0.19575;0.19775;0.195;
1850;0.202622;0.195324;0.202865;0.202865;0.208459;0.19727;0.212595;0.203595;0.211622;0.210892;0.200919;0.194838;0.192162;0.210405;0.199946;0.203108;0.195811;0.191189;0.196541;0.203595;0.213811;0.199703;0.200432;0.210649;0.204324;0.196784;0.207486;0.205297;0.201892;0.200676;0.198973;0.201405;0.201405;0.211622;0.205541;0.201892;0.192892;0.197757;0.203108;0.201162;0.199946;0.198;0.198486;0.199216;0.200189;0.196784;0.191432;0.213811;0.200919;0.205784;
1900;0.197526;0.195158;0.201553;0.186868;0.207;0.203211;0.200842;0.201079;0.191605;0.199184;0.197526;0.190658;0.192553;0.194921;0.205105;0.201553;0.193263;0.204632;0.193974;0.202737;0.196105;0.198237;0.198711;0.203447;0.198237;0.200132;0.190421;0.206053;0.195632;0.198711;0.199184;0.197053;0.200132;0.203447;0.204632;0.194921;0.205579;0.199658;0.208895;0.202263;0.200842;0.201079;0.188289;0.195868;0.201789;0.209132;0.195158;0.2025;0.202026;0.200368;
1950;0.198;0.204462;0.200769;0.188769;0.199846;0.194308;0.194538;0.195923;0.199154;0.201231;0.195923;0.203538;0.196615;0.202154;0.197538;0.196846;0.199154;0.202615;0.207231;0.200769;0.205154;0.199846;0.201;0.205846;0.199154;0.206077;0.198462;0.203538;0.195923;0.202385;0.198462;0.203769;0.206077;0.197077;0.205615;0.207692;0.200769;0.209077;0.197769;0.205385;0.199385;0.199615;0.195462;0.201692;0.198;0.203769;0.198231;0.199615;0.204231;0.198462;
2000;0.19665;0.2007;0.203625;0.207;0.201375;0.1872;0.194175;0.197325;0.202275;0.19305;0.199575;0.20205;0.202275;0.198675;0.19575;0.19395;0.191925;0.199125;0.1953;0.197775;0.202725;0.196875;0.201375;0.19305;0.200025;0.20565;0.18855;0.198;0.20115;0.2007;0.20205;0.190125;0.204075;0.208125;0.191025;0.202725;0.2061;0.200475;0.2007;0.20205;0.213975;0.191475;0.2097;0.208125;0.191025;0.207675;0.204075;0.208125;0.1908;0.1944;
2050;0.201951;0.194488;0.201073;0.20239;0.19778;0.199537;0.193171;0.198659;0.197561;0.187683;0.198439;0.188122;0.201732;0.192512;0.195805;0.20678;0.198;0.198439;0.19778;0.203927;0.203049;0.203049;0.196463;0.199537;0.205902;0.196024;0.195585;0.201512;0.201293;0.204805;0.206341;0.19339;0.193829;0.205024;0.207878;0.210293;0.195366;0.205024;0.201951;0.20239;0.195146;0.192732;0.19822;0.207;0.201951;0.198439;0.206341;0.200634;0.20239;0.199756;
2100;0.205286;0.198429;0.200143;0.194143;0.189643;0.203357;0.203143;0.200357;0.205071;0.195643;0.204214;0.194571;0.199286;0.200786;0.198214;0.197571;0.201643;0.198643;0.198;0.204429;0.193286;0.198;0.208929;0.200571;0.203143;0.201214;0.189643;0.205071;0.196929;0.201857;0.196286;0.201643;0.196071;0.206786;0.201643;0.207429;0.197571;0.1995;0.204857;0.199071;0.202714;0.184071;0.200571;0.208714;0.1905;0.194357;0.202929;0.202714;0.203571;0.214929;
2150;0.194233;0.201349;0.199674;0.19507;0.201349;0.199047;0.202605;0.204907;0.209093;0.200512;0.200721;0.196326;0.198209;0.193605;0.199884;0.19193;0.195907;0.199256;0.206372;0.20093;0.207;0.193814;0.199047;0.199884;0.196116;0.205535;0.199256;0.192767;0.195698;0.20407;0.202186;0.191093;0.192977;0.200302;0.190884;0.196326;0.201767;0.198209;0.198209;0.202186;0.200512;0.200302;0.207209;0.202186;0.204698;0.198628;0.198;0.201977;0.200512;0.203651;
2200;0.205773;0.198818;0.196773;0.205977;0.2025;0.197591;0.202091;0.193909;0.205568;0.202091;0.199023;0.199841;0.210477;0.207409;0.192886;0.20025;0.202909;0.1935;0.20475;0.194932;0.202909;0.20475;0.201477;0.205773;0.200045;0.194727;0.19575;0.200455;0.198409;0.195136;0.205364;0.205364;0.201477;0.203727;0.195136;0.194727;0.199023;0.201886;0.193705;0.19575;0.2025;0.205364;0.198409;0.207409;0.194318;0.208227;0.202091;0.199636;0.202295;0.197386;
2250;0.2012;0.198;0.2004;0.205;0.202;0.196;0.2078;0.1998;0.1954;0.1912;0.1988;0.2008;0.198;0.2024;0.1996;0.2006;0.198;0.1976;0.1932;0.1966;0.2044;0.2002;0.208;0.2002;0.1998;0.204;0.1956;0.196;0.2016;0.2092;0.2078;0.2022;0.1936;0.1942;0.1946;0.2028;0.2028;0.2082;0.2;0.2016;0.1994;0.1964;0.2088;0.1984;0.1998;0.2038;0.198;0.2036;0.1972;0.1958;
2300;0.2025;0.200152;0.194087;0.194283;0.197609;0.198978;0.201326;0.19663;0.204457;0.195652;0.199761;0.19487;0.197609;0.199565;0.197413;0.202696;0.189;0.196239;0.201717;0.198391;0.198587;0.197022;0.202109;0.203478;0.203478;0.201717;0.198587;0.202109;0.197804;0.20387;0.197609;0.195652;0.206217;0.198196;0.199174;0.19663;0.197022;0.188609;0.208957;0.197217;0.2025;0.200739;0.193891;0.201717;0.201326;0.203087;0.198783;0.202304;0.196239;0.195065;
2350;0.191489;0.196085;0.201255;0.203745;0.193404;0.19934;0.198191;0.211596;0.20566;0.204511;0.199723;0.190532;0.208149;0.197617;0.19934;0.199915;0.202021;0.196277;0.194553;0.202787;0.201255;0.201064;0.199915;0.19934;0.204128;0.198766;0.19934;0.197043;0.199915;0.198957;0.202021;0.207957;0.202404;0.201638;0.200681;0.195702;0.203362;0.200106;0.206426;0.200872;0.200298;0.197426;0.198574;0.193596;0.204702;0.20317;0.199723;0.202787;0.205277;0.200681;
2400;0.194812;0.204;0.1965;0.204187;0.202125;0.203437;0.192937;0.198562;0.193875;0.199875;0.1995;0.205687;0.205313;0.192188;0.202125;0.198937;0.19725;0.205125;0.197812;0.20175;0.194625;0.201375;0.201375;0.194063;0.206062;0.203625;0.203625;0.202312;0.194438;0.197437;0.205313;0.199125;0.1995;0.191813;0.202875;0.20325;0.196875;0.188812;0.20475;0.201;0.196687;0.20025;0.202687;0.206062;0.211875;0.203062;0.196875;0.196875;0.204187;0.193875;
2450;0.200388;0.201122;0.197265;0.202408;0.210673;0.194143;0.205347;0.195061;0.206633;0.198;0.196163;0.198184;0.195612;0.198918;0.199653;0.202224;0.198367;0.201857;0.20002;0.197449;0.204612;0.201306;0.195429;0.206082;0.200388;0.191204;0.200939;0.199837;0.206265;0.199469;0.20002;0.200755;0.196714;0.206265;0.207367;0.193408;0.196898;0.211224;0.204429;0.202776;0.196347;0.201306;0.200939;0.199653;0.198735;0.195612;0.199837;0.198918;0.202776;0.191939;
2500;0.19692;0.19638;0.20772;0.2043;0.198;0.20988;0.19494;0.20358;0.20394;0.19854;0.19962;0.19296;0.20196;0.19152;0.20196;0.20934;0.20538;0.19944;0.19242;0.20754;0.19926;0.19746;0.19152;0.20268;0.20052;0.1926;0.19656;0.19728;0.20556;0.19908;0.19944;0.20304;0.1944;0.2007;0.1989;0.1989;0.19836;0.18756;0.19026;0.20376;0.19494;0.20628;0.207;0.20034;0.20826;0.19638;0.19872;0.19638;0.19206;0.20466;
2550;0.202235;0.196765;0.198176;0.199765;0.198706;0.198;0.204882;0.198353;0.201353;0.197647;0.205941;0.193941;0.206471;0.200824;0.202941;0.206294;0.204176;0.194118;0.205765;0.202412;0.198529;0.200647;0.198;0.202235;0.206294;0.196412;0.206294;0.202941;0.199235;0.204353;0.197647;0.197647;0.202235;0.190412;0.202235;0.202059;0.196941;0.207176;0.203118;0.205412;0.192706;0.203294;0.202588;0.194118;0.199235;0.198353;0.201;0.197647;0.200824;0.202588;
2600;0.195404;0.197654;0.198346;0.196096;0.200077;0.20025;0.201808;0.202327;0.2025;0.195923;0.201288;0.2025;0.199038;0.191077;0.199385;0.204923;0.200423;0.200596;0.204231;0.192981;0.210462;0.199904;0.199212;0.190731;0.204923;0.192808;0.205269;0.202673;0.197308;0.196962;0.191769;0.195231;0.194712;0.203538;0.200942;0.203019;0.196442;0.200942;0.200596;0.197654;0.196269;0.201808;0.19125;0.198;0.208558;0.197827;0.204404;0.196615;0.196788;0.202327;
2650;0.202925;0.202245;0.201566;0.203434;0.201566;0.203264;0.19817;0.198509;0.204113;0.193585;0.203264;0.200547;0.196811;0.205132;0.206491;0.199868;0.202245;0.201566;0.200208;0.202075;0.19817;0.200377;0.196642;0.200208;0.204283;0.197321;0.202755;0.199868;0.205811;0.191038;0.202755;0.204283;0.199698;0.199189;0.199019;0.203094;0.203094;0.201057;0.205302;0.196811;0.203943;0.202415;0.190189;0.198;0.200547;0.203434;0.202925;0.20666;0.203774;0.194264;
2700;0.1955;0.2055;0.204;0.1945;0.200667;0.2055;0.198833;0.196833;0.201167;0.201167;0.198667;0.199667;0.1995;0.1965;0.195833;0.200667;0.199333;0.206667;0.201167;0.196333;0.205;0.201667;0.1955;0.193833;0.194167;0.2025;0.188833;0.196667;0.200833;0.202833;0.196333;0.202333;0.195667;0.198167;0.205333;0.201167;0.196167;0.2;0.202167;0.201667;0.193667;0.197167;0.203167;0.198333;0.209333;0.195833;0.195167;0.189833;0.193333;0.1965;
