n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
50;0.189;0.18;0.198;0.27;0.189;0.207;0.216;0.198;0.144;0.189;0.198;0.234;0.225;0.198;0.198;0.18;0.234;0.234;0.171;0.144;0.18;0.162;0.18;0.216;0.189;0.207;0.189;0.27;0.216;0.207;0.189;0.198;0.207;0.153;0.171;0.189;0.144;0.18;0.18;0.189;0.198;0.189;0.225;0.18;0.216;0.198;0.207;0.153;0.189;0.189;
100;0.189;0.234;0.2025;0.234;0.207;0.18;0.216;0.216;0.198;0.1845;0.2025;0.2025;0.2115;0.1485;0.18;0.198;0.1845;0.207;0.1935;0.1935;0.2565;0.243;0.2025;0.216;0.1485;0.198;0.1935;0.171;0.1665;0.2295;0.144;0.171;0.1845;0.1935;0.252;0.2295;0.1755;0.171;0.1755;0.2025;0.207;0.207;0.1755;0.225;0.198;0.171;0.1665;0.1485;0.2385;0.1935;
150;0.195;0.195;0.219;0.213;0.21;0.18;0.192;0.192;0.183;0.21;0.222;0.162;0.213;0.186;0.201;0.186;0.165;0.213;0.222;0.186;0.228;0.201;0.192;0.225;0.141;0.237;0.18;0.186;0.177;0.165;0.186;0.186;0.201;0.177;0.225;0.192;0.204;0.195;0.177;0.198;0.219;0.177;0.198;0.201;0.192;0.204;0.198;0.207;0.24;0.183;
200;0.24525;0.1755;0.18675;0.21375;0.19575;0.2025;0.2205;0.20925;0.189;0.20925;0.198;0.207;0.2205;0.198;0.18675;0.20925;0.2115;0.24075;0.207;0.19575;0.216;0.18225;0.207;0.20475;0.2205;0.20025;0.20475;0.1755;0.2025;0.18675;0.189;0.1935;0.18;0.207;0.198;0.20025;0.18675;0.18225;0.19125;0.20025;0.20475;0.1755;0.21375;0.18;0.2025;0.20025;0.1845;0.18225;0.171;0.198;
250;0.1944;0.1818;0.1944;0.1944;0.18;0.2016;0.2052;0.207;0.1872;0.1998;0.2034;0.1998;0.2016;0.1674;0.198;0.1908;0.1818;0.189;0.198;0.2304;0.2322;0.1998;0.2232;0.1908;0.1872;0.1944;0.1836;0.2088;0.1854;0.2142;0.2142;0.1944;0.189;0.2322;0.1926;0.2034;0.207;0.198;0.18;0.1872;0.1926;0.1926;0.1926;0.2142;0.2142;0.1944;0.2016;0.198;0.1836;0.2124;
300;0.198;0.204;0.21;0.1875;0.213;0.2055;0.198;0.2025;0.21;0.1965;0.1845;0.192;0.18;0.219;0.1755;0.189;0.2055;0.1965;0.183;0.2205;0.195;0.2145;0.195;0.18;0.2055;0.2085;0.2175;0.1815;0.216;0.198;0.225;0.195;0.192;0.192;0.2265;0.1905;0.1845;0.2205;0.192;0.207;0.192;0.18;0.18;0.222;0.1785;0.1905;0.1995;0.2175;0.204;0.1965;
350;0.218571;0.191571;0.213429;0.192857;0.173571;0.195429;0.208286;0.172286;0.191571;0.214714;0.198;0.189;0.199286;0.199286;0.203143;0.200571;0.204429;0.201857;0.222429;0.203143;0.187714;0.196714;0.223714;0.182571;0.190286;0.209571;0.214714;0.183857;0.203143;0.201857;0.196714;0.200571;0.210857;0.196714;0.217286;0.191571;0.200571;0.192857;0.185143;0.183857;0.208286;0.221143;0.210857;0.200571;0.200571;0.200571;0.200571;0.195429;0.217286;0.205714;
400;0.199125;0.196875;0.208125;0.192375;0.198;0.205875;0.1935;0.189;0.21825;0.1935;0.198;0.18675;0.19125;0.19125;0.205875;0.20925;0.2115;0.20025;0.19575;0.178875;0.20475;0.19575;0.22275;0.2115;0.20475;0.208125;0.20025;0.20475;0.1845;0.2115;0.20475;0.198;0.1935;0.183375;0.198;0.20475;0.183375;0.214875;0.205875;0.20025;0.20925;0.2025;0.194625;0.192375;0.201375;0.207;0.21375;0.194625;0.199125;0.217125;
450;0.218;0.2;0.192;0.197;0.176;0.195;0.187;0.2;0.185;0.202;0.195;0.197;0.201;0.216;0.212;0.189;0.194;0.188;0.202;0.197;0.2;0.208;0.202;0.209;0.202;0.214;0.184;0.187;0.184;0.22;0.202;0.2;0.197;0.202;0.198;0.18;0.185;0.198;0.194;0.216;0.184;0.197;0.177;0.197;0.189;0.208;0.212;0.197;0.201;0.188;
500;0.198;0.1935;0.2034;0.1989;0.1998;0.2214;0.1935;0.1809;0.198;0.1962;0.1917;0.1998;0.1989;0.1971;0.1863;0.2088;0.216;0.1926;0.2115;0.2025;0.1962;0.2088;0.1998;0.2052;0.2025;0.2007;0.2124;0.1971;0.2007;0.1935;0.2043;0.2034;0.2016;0.2034;0.2169;0.198;0.2196;0.1881;0.2043;0.2043;0.1989;0.1935;0.1944;0.198;0.1971;0.2142;0.1908;0.2007;0.189;0.2025;
550;0.186545;0.188182;0.202091;0.188182;0.198;0.201273;0.187364;0.202909;0.205364;0.198;0.208636;0.213545;0.191455;0.196364;0.184909;0.208636;0.207818;0.212727;0.216;0.196364;0.200455;0.189;0.202091;0.211091;0.205364;0.203727;0.201273;0.206182;0.183273;0.211909;0.189818;0.194727;0.206182;0.196364;0.197182;0.196364;0.195545;0.189;0.198818;0.198;0.225818;0.218455;0.188182;0.189818;0.189818;0.188182;0.198818;0.213545;0.207;0.211909;
