n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
550;11.1709;12.1309;12.1018;11.9855;11.8691;11.7818;11.6364;12.16;12.2182;12.16;11.84;12.16;12.0727;12.5382;11.8982;12.5091;12.0145;12.3345;11.9564;12.4509;12.0727;12.2473;12.2182;12.0727;11.8109;12.2764;12.2764;11.5782;11.9855;11.6073;11.6364;12.2764;12.0727;12.4218;12.0727;12.0436;11.84;12.0727;11.6364;12.48;11.8982;11.6655;12.0145;11.8691;11.8691;12.0436;11.7818;11.4618;11.8691;12.2764;
600;12.3733;12.9867;12.24;11.9467;12.1067;11.8933;12.1867;11.7333;11.92;12.08;12.0533;12.5333;12.2667;12.2933;12.4267;12.1333;11.8933;12.2667;12.3733;11.6267;11.7067;11.6533;12.32;11.8667;11.7867;11.7867;12.3467;12.1867;11.8667;11.8933;12.2667;11.7867;11.8667;11.76;12.16;11.84;12;12.0267;12.2667;12.4;12;11.84;11.7867;12.3733;12.4267;12.1333;12.1333;12.0533;11.7333;11.8933;
650;12.0123;11.2246;11.9631;11.8154;12.2585;11.9138;11.9385;11.8892;12.1846;11.7169;11.9631;12.0123;12.1108;11.9138;12.16;12.3815;12.48;11.9385;12.6031;11.8154;11.52;12.0123;11.8154;12.0615;11.9631;12.0862;11.6185;11.8646;11.8892;11.8892;11.8892;12.0862;12.3077;11.8892;11.6431;11.6431;12.0862;12.0369;12.0862;11.6431;12.16;12.0123;11.84;11.4215;11.7169;12.0369;11.52;12.2092;12.0123;11.7908;
700;11.9314;11.9314;12.16;12.3429;11.9771;11.8171;11.9771;12.3886;11.9543;11.6343;11.6343;11.7714;11.7714;11.9543;12.64;11.9771;11.6571;12.1829;11.84;11.8857;12.1371;11.8857;12.2286;12.3429;11.8857;11.9543;12.2057;12.4343;12.32;11.9771;11.7943;11.9771;11.6114;11.7486;11.7029;12.1371;11.9543;12.0457;11.7486;12.3657;12.1829;12.1143;12.2057;12.4114;12.4343;11.9086;12;12.48;12.1371;11.7029;
750;12.0533;12.3733;11.4773;12.1387;12.224;12.1813;12.16;11.8187;12.0747;11.8613;12.416;12.3307;11.712;11.776;12.096;11.904;12.288;11.712;11.776;12.1387;11.6053;12.288;11.5413;11.8827;11.648;11.6907;11.7547;11.7547;11.6693;12.032;12.096;12.1173;12.4587;12.224;12.3733;12.0747;11.84;11.8187;11.7973;11.7547;11.9467;11.904;11.6907;11.9253;11.648;11.84;11.904;12.2453;12.352;12.3093;
800;11.86;12.44;11.5;11.68;11.94;11.5;12.28;11.68;11.88;11.92;12.04;12.02;12.26;12;11.66;12.18;11.92;11.8;11.68;11.92;12.18;12.1;12.04;12.16;12.12;11.72;12.08;11.78;11.88;12.2;12.16;12;11.88;11.96;11.72;12.12;11.6;12.28;12.08;11.88;12.18;12;11.9;11.9;11.46;11.62;11.88;11.84;12.18;11.94;
850;11.8588;12.0659;11.7835;12.3859;12.0282;12.5741;12.0282;12.0471;11.9341;11.9341;12.1035;11.8776;12.1035;12.1976;11.8776;11.9153;12.0094;11.6518;11.9906;11.6518;12.2918;12.1788;12.0094;12.1976;11.7271;11.7459;11.6706;12.3859;11.8965;12.0282;12.1035;12.6306;12.0282;12.1788;12.16;12.2541;12.0282;11.8965;12.1412;11.5388;12.0659;11.9153;11.7271;12.2353;12.1976;11.9153;11.7835;11.8776;11.5765;12.0847;
900;11.9467;12.1778;11.84;12.0711;11.7156;12.1956;12.3733;11.8933;11.68;11.5733;12.2844;11.9289;11.4133;12.1956;11.9111;12.0356;12.0711;11.9822;11.8578;12.0533;11.8044;12.2667;11.8933;11.8222;11.7689;12.1956;11.9644;11.7511;11.8044;12.0178;12.3022;11.8578;12.16;12.3378;12.0178;12.16;12.1422;11.7511;11.6978;11.9644;11.8578;12.2133;11.84;11.9822;11.9289;12.2489;12.0533;12.1244;12;11.7511;
950;11.6547;12.1263;12.0589;12.0589;12.0926;11.6211;12.1432;11.9916;11.9579;11.84;12.0589;11.7221;11.9074;11.5874;12.1432;11.9747;11.9747;12.0421;12.2947;12.0084;12.5305;11.9242;11.8905;11.9411;11.9411;11.7053;11.9411;12.1432;12.0421;12.0253;12.0253;11.7389;12.0589;11.6884;11.8568;11.6379;11.9747;11.6547;12.1263;11.8905;11.7053;11.7558;11.9242;11.5874;12.1768;11.7895;11.6042;12.3284;12.2947;12.2442;
1000;12.16;12.064;11.92;12.032;11.808;12.256;11.888;12.144;11.984;11.808;12.176;11.952;11.824;11.632;11.792;11.952;11.696;11.744;11.872;11.808;12.016;11.904;12.048;11.856;11.984;12.016;12.112;11.872;12.208;12.192;12.128;11.952;11.952;12.256;11.744;11.712;11.888;12.128;11.68;11.856;11.968;11.664;12.448;12.224;11.616;11.904;12.096;11.744;11.984;12.144;
1050;12.0686;11.9619;11.9162;11.9162;11.8248;11.9467;12.0686;11.901;11.9467;11.9314;11.6419;12.0076;12.16;12.0686;12.099;11.9314;11.9771;11.9162;11.4438;12.1448;11.8095;11.8248;12.2057;11.9924;11.9924;11.8095;11.901;12.0686;11.9924;11.8857;12.221;12.5714;12.3276;12.0838;11.8705;12.1295;11.7333;12.16;11.7333;11.9162;11.7333;11.8705;11.6724;11.9162;11.9924;11.5962;11.6724;11.8095;12.4495;12.2667;
1100;11.9127;12.1455;12.1018;12.0727;12.0291;11.7964;11.8982;11.9564;12.1164;11.9709;11.7818;11.9273;12.16;12.1018;12.0873;12.1164;12.3782;11.8691;11.5345;12.2764;12.1745;12.1455;12.16;12.1018;11.9564;11.9709;12;11.84;11.7673;11.8691;12.3055;12.3927;12.1455;11.9709;12.0145;12.1164;11.9855;11.9709;11.8109;11.9273;11.6073;11.8109;11.6364;12.1891;11.9127;12.1164;12.0291;12.0582;12.1745;12.1745;
1150;12.16;11.6035;12.0904;11.9374;12.1878;12.327;11.9374;11.7704;11.4226;12.0765;12.0487;12.0765;11.9096;12.3826;11.8817;11.6035;11.6591;12.0348;11.9791;12.2435;11.8957;12.4939;12.007;12.4243;12.0209;11.7704;11.9235;11.7565;12.3548;11.8678;12.1043;11.8122;11.9235;12.007;12.16;11.6313;12.0626;12.1322;11.993;11.8261;12.2435;12.0626;12.0487;11.7704;12.16;11.7843;11.7983;12.4522;12.1322;12.1183;
1200;12.2133;12.08;12.2267;11.9067;12.04;11.8533;11.76;11.84;11.76;12.2667;11.8;12.28;12.1333;12.1467;12.0533;11.96;12.2;12.0133;12.32;12.04;12.36;11.7733;11.9733;11.7867;11.6267;12.04;12.1867;12.16;12.3333;12.0933;11.6533;11.76;12.0933;12.0533;11.7067;11.6533;11.8933;12.0933;12.08;12.1733;11.7733;11.84;12.0133;11.88;12.28;12.0267;12.1067;11.7067;12.12;11.3467;
1250;11.9808;12.288;12.1728;11.9168;11.584;12.0576;12.4672;11.9168;11.8016;12.0576;11.9936;11.8784;12.0576;11.9296;12.16;12.0832;12.0704;11.9168;12.1344;12.0448;12.1728;11.7888;11.904;11.84;11.6352;11.8656;12.224;12.0448;11.648;12.1088;11.9808;12.1856;12.032;11.904;11.712;11.7376;12.2112;12.1728;12.096;12.1216;12.2752;11.8656;11.7888;12.1216;12.352;12.3264;12.0448;12.0832;12.3776;12.288;
1300;11.7908;12.0862;12.0246;12.3077;12.1108;11.9262;11.7785;12.1108;12.0738;12.1723;12.4677;11.6185;11.7169;12.3323;12.0985;11.7292;11.8523;12.0492;12.0738;11.9877;12.2092;12.0369;12.2462;11.7292;11.5938;12.0123;12.0492;11.7662;11.6923;12.1231;12.1231;11.3354;11.9877;11.7415;11.9262;12;11.8031;12.2585;12.0123;11.9508;11.9015;12.0123;12.0369;11.8154;11.9385;11.9508;11.8523;11.9754;12.1231;11.9385;
1350;12.1363;12.2548;12.2785;11.8281;12.0652;12.0415;11.5911;11.8281;11.7926;12.1956;12.0415;12.4326;12.3852;11.9348;11.9822;12.0415;11.757;11.8637;12.2785;12.0415;12.243;11.9467;11.757;12.4207;11.8874;12.0296;12.2548;11.5319;12.0652;11.7333;11.9585;12.16;11.757;11.9822;11.757;12.1837;11.4726;11.7096;12.16;11.7689;11.9585;12.0889;11.5793;11.8281;12.0178;11.9941;12.0296;11.757;12.0415;12.0889;
1400;12.0914;11.9771;12;11.8971;11.9543;12.1029;12.1486;12.2514;12.0914;12.0457;11.9771;12.3429;12.08;11.9543;12.1714;12.2057;11.7829;12.0343;12.2286;11.8971;11.92;11.76;11.92;11.92;12.0686;11.9657;11.7829;11.9086;12.0571;11.8629;12.0571;11.7486;11.9543;11.9657;11.9886;11.9429;11.9771;11.8971;11.9543;12.1714;11.6343;12.16;12.2743;11.9314;11.9543;12.3886;11.9771;12.2514;12;12.16;
1450;12.0166;12.1379;12.0276;11.9393;12.2483;12.2262;12.1269;12.2924;12.1821;12.1159;12.3476;11.7407;11.9614;11.8731;12.1269;11.6745;11.9614;11.7407;12.0055;11.9724;11.8621;11.9283;11.8952;11.9393;12.1269;12.171;11.9393;12.3034;12.0055;11.9503;11.8179;12.0055;11.851;12.16;11.8179;11.6745;12.0607;12.0386;11.7407;11.84;11.9172;12.0938;11.9393;11.7186;11.9393;11.8731;11.9945;12.2262;11.9945;11.829;
1500;11.8507;12.096;11.904;11.7333;12.4053;11.7333;12.1173;12.0427;12.0107;11.8933;12.1707;11.7653;12.064;12.1493;12.16;12.192;11.936;11.776;12.0213;11.7013;11.7653;11.7333;12.1067;12.096;12.1493;12.3093;11.8613;12;11.6907;11.8293;12;12.2133;12.2667;12.1493;12.1067;11.808;12.0427;11.9573;12.1173;12.0107;12.0533;12.3413;12;11.8613;11.5947;12.0747;12.128;11.872;12.32;12.1173;
1550;12.16;11.9535;12.129;12.1497;11.9639;12.3355;12.0155;11.7987;11.9845;12.0052;12.1497;11.8503;11.6955;11.8503;12.0155;12.0052;12.1703;11.9535;12.2839;11.9639;11.9329;12.3665;11.7161;11.9639;12.0258;11.6955;11.9329;11.8606;12.16;12.2632;11.9019;12.0258;11.9226;11.8503;11.871;12.1394;11.9742;12.16;11.9123;11.9845;11.8916;11.9742;12.0877;11.7058;12.3045;11.7161;11.9432;11.9432;12.0774;11.8606;
1600;12.03;12.12;11.81;12.34;12.05;11.92;12.09;12.04;11.7;11.98;12.26;12.44;12.22;12.04;11.92;12.3;12.12;11.66;11.9;12.2;12.21;12.11;11.75;11.93;11.95;11.79;12.37;11.94;11.96;11.81;11.95;12.05;12.09;11.94;12.14;11.98;12.16;11.98;11.84;12.02;11.9;11.71;12.08;12.13;12.11;11.83;11.93;11.94;11.99;12.1;
1650;11.7527;11.8497;11.9952;11.9079;11.9758;12.16;12.0145;11.9467;11.6558;12.2376;11.8885;12.5091;11.9176;12.2279;11.937;11.8594;12.1697;12.0339;11.9758;12.0048;11.6558;12.2182;11.743;11.8497;12.3539;11.5879;12.2182;11.7527;11.8788;12.1212;11.8594;11.9661;11.9273;11.8982;11.9564;12.0048;12.16;12.1212;11.8109;12.0339;11.7042;11.9176;12.0145;11.9273;12.1309;12.2473;12.1115;11.8982;11.9564;11.9952;
1700;12.16;11.9812;11.9153;12.0282;12.3482;11.8306;11.9624;11.6518;12.1412;11.8965;11.6894;12.0471;12.1412;12.2165;11.7459;11.8024;12.0188;12.0753;11.9059;12.0565;11.8588;11.5388;11.9812;12.1694;12.2541;11.8212;12.0471;12.1224;11.9718;12.3012;12.0565;11.9906;12.16;11.9153;12;12.0941;11.6988;11.9812;11.9624;12.1506;11.8965;12.0941;12.0941;11.7929;12.0094;12.2635;12.0188;12.0941;12.2729;12.1412;
1750;12.0869;11.8766;12.1509;12.1966;12.416;11.9589;11.9863;11.9131;11.7943;12.0137;12.2606;12.0229;12.2971;11.8491;12.1234;11.7577;12.2789;11.9863;11.9223;12.032;11.904;12.1691;11.8126;12.3977;11.5657;12.1874;12.0046;12.1966;12.0137;11.8034;12.096;11.8674;11.9406;12.1509;12.3703;12.096;11.8491;12.096;12.2149;11.8126;11.8491;12.0869;11.9954;11.968;12.2331;11.9589;11.6571;12.096;12.1051;11.9497;
1800;12.0178;11.9822;11.7067;11.7244;11.9644;11.6889;12.4178;12.1067;12.0089;12.0711;12.24;11.8311;11.9644;11.7867;11.92;11.9556;12.0622;11.9378;12.3556;11.9911;11.7778;12.2133;11.9378;12.2222;11.8933;11.8044;12.1778;12.2844;11.8756;12.0178;12.3111;12.1956;11.7422;12.2489;12.0178;12.1156;11.5644;12.08;11.8133;12.0267;12.1867;11.8578;12.0711;11.9289;12.16;12.16;12.0089;11.8933;12.1067;12.3289;
1850;11.7708;12.0908;11.8746;11.9784;12.0043;12.0216;11.8227;12.1341;12.1168;12.0216;12.3762;11.7968;12.1427;11.8746;12.3416;11.7881;11.7103;12.1686;12.1427;12.1686;11.9784;11.6497;11.7535;11.9697;11.8141;12.1341;11.84;11.8314;12.1254;12.0303;11.6584;12.0822;12.1859;12.0562;12.1859;12.0476;12.1168;11.9957;11.8832;11.8659;12.3762;11.9957;12.2119;11.9005;11.7276;11.7276;12.0908;12.1168;12.1168;11.9524;
1900;12.0926;12.0253;12.2779;12.1853;12.2695;12.0842;12.0758;12.2189;12.0253;12;12.2695;11.8821;12.0505;12.0168;12.0758;11.7305;11.7221;12.0253;11.9411;12.2021;12.0842;11.8737;11.8905;11.7642;11.9495;12.0337;12.1684;11.8063;12.1937;12.2105;11.9495;12.1347;12.0168;12.0674;12.1011;12.1263;12.1853;11.9663;12.0589;11.8063;12.0842;11.9747;12.0758;11.7305;11.9411;12.0421;12.0084;12.1853;11.9495;11.9495;
1950;12.0369;11.9549;11.9138;11.9549;12.16;11.8892;12.0287;11.9877;11.8646;12.1272;11.7579;12.2421;11.8892;11.7744;12.0205;11.9221;11.7908;11.8564;12.0697;11.9385;12.0779;11.9631;12.0533;11.84;12.3077;12.0697;11.8646;11.7579;12.1272;11.9056;12.0041;12.0205;12.2174;11.9138;12.2749;12.1026;12.1928;11.799;12.1108;12.2092;12.0369;12.2092;12.0287;12.119;11.8892;11.8318;12.1764;11.8318;12.0369;11.881;
2000;12.336;12.008;12.032;12.304;12.016;12.064;12.08;12.016;12.056;12;12.112;12.248;11.6;12.048;11.944;12.064;11.816;12.24;11.992;12.048;11.856;12.08;12.232;12.168;12.056;12.224;12.056;11.936;11.728;12.152;12.024;12;12.176;11.984;11.8;11.72;12.032;11.96;11.992;12.176;12.056;12.112;12.08;11.776;12.08;11.832;12.304;12.024;11.952;12.128;
2050;11.6215;11.9727;12.1444;12.3161;11.7932;12.1834;11.9493;12.0898;11.8556;11.9649;12.0507;11.6995;12.0039;11.9337;12.0273;11.8868;11.9259;11.8868;12.0585;12.0976;12.2068;11.8088;11.7385;12.1132;12.1132;12.1054;11.8868;11.9805;11.8088;12.1756;12.2068;11.9883;12.3629;12.0429;11.8478;11.801;12.2927;11.9805;11.8088;12.0585;11.918;11.7385;11.9805;12.1366;12.0195;11.9259;11.8634;11.9493;11.9571;12.16;
2100;12.0838;11.9086;12.061;11.8248;11.9314;12.1676;12.061;11.9162;11.6267;11.8019;12.2514;12.0229;11.8171;11.9238;11.939;12.1067;11.8705;11.8171;12.1067;11.9467;11.7486;11.939;12.1981;11.9771;11.9924;11.9543;11.9924;12.0305;11.8705;12.1448;12.0533;11.939;12.2133;12.1676;11.9848;11.939;12.0229;11.9543;11.8933;12.1905;11.7867;12.1219;11.9543;11.7714;12.0381;12.2133;11.9924;11.8781;11.939;12.0533;
2150;12.026;12.0112;12.3833;12.0186;11.8102;12.026;11.9665;12.2121;11.6688;11.9144;12.227;12.2047;12.1302;11.8921;11.7507;12.026;12.1153;12.1005;12.1377;12.1377;11.8847;11.9367;12.1377;11.9516;11.8995;11.9888;11.8995;12.1451;11.9442;12.1005;11.8921;12.1302;12.0037;12.1079;12.0707;12.3535;12.0856;12.1079;12.1451;12.1153;11.8474;12.0409;12.16;12.0037;12.0112;12.2344;11.8549;12.0856;12.1674;12.0781;
2200;11.6145;12.1891;11.8691;12.1818;11.9491;11.7673;12.1455;12.16;12.1236;11.9855;11.7164;12.1164;11.92;11.7673;11.9782;11.8182;11.9927;11.8764;12.0073;11.8036;11.9927;12.0436;12.24;11.6945;12.0364;12.0873;11.9564;12.08;12.0727;11.7818;12.0582;12.0509;12.0291;11.9927;11.8036;11.8182;11.8182;12.1673;11.8982;11.9782;11.9127;12.2255;11.8618;12.2182;11.8473;12.1818;11.7527;12.1382;11.8691;12.1891;
2250;11.968;12.16;12.0107;12.0036;12.0107;11.9822;12.1173;11.8613;11.9467;11.9893;12.1173;12.0747;11.7831;12.1529;12.0818;12.0107;12.2382;11.8898;12.1529;11.9609;12.1387;11.8329;11.7973;11.712;12.1529;12.0676;11.9893;11.9538;11.9182;11.9822;11.9964;12.1173;11.7831;12.032;11.7973;12.0391;11.968;12.1387;11.84;11.9253;11.9396;12.16;12.1031;11.7689;11.8187;12.1884;12.1244;12.096;12.2524;12.1173;
2300;11.8887;12.1461;11.833;12.1948;12.1461;11.9026;11.8678;12.1461;12.007;12;12.1878;12.0557;12.0139;11.7983;11.9304;12.1739;11.8957;11.9096;11.7148;12.0974;11.9374;11.847;11.84;11.7843;11.8191;11.7635;11.9652;11.8887;12.0696;12.2643;11.993;12.0348;12.1113;11.9096;12.0835;11.9791;12.2574;12.153;12.1391;12.1322;11.8887;12.2713;11.9443;12.0348;11.9165;12.0696;12.16;11.8678;12.0904;11.84;
2350;11.9694;12.0715;12.0443;12.2077;11.9421;12.2009;12.194;11.7923;12.1055;11.9013;12.1191;12.017;12.3098;11.5132;11.9898;12.1396;12.0034;11.8877;11.983;11.983;11.8672;11.9149;11.9694;12.0238;11.7311;11.8536;12.0306;11.8536;11.8468;12.0102;11.9626;12.0919;12.1191;12.2757;11.8809;12.0715;12.2077;11.7583;12.16;12.0647;12.1328;12.1191;11.874;11.874;12.1532;11.9421;11.9353;12.2145;11.7243;12.0238;
2400;12.0933;12.1667;11.9933;12.0933;12.12;11.9467;12.08;11.8267;12.02;12.04;11.8667;12.0733;11.8267;11.8133;11.8867;12.0867;11.8467;11.8867;11.8733;12.0667;12.1667;11.9067;12.0667;11.94;12.28;11.9333;11.9067;12.1067;12.0733;11.9267;12.0267;12.0733;12.2867;11.9133;12.0533;12.18;11.9467;12.0267;12.0733;11.88;12.2933;11.86;11.8667;12.0133;12.12;11.74;11.9533;12.0733;12.1133;12.0133;
2450;12.0098;12.0816;11.9053;11.8857;12.062;12.0751;12.0359;11.8988;11.7616;11.9641;11.9902;11.9118;11.8008;12.0947;11.9249;11.8531;12.049;12.1469;11.9249;11.9053;11.9837;12.1078;12.1927;12.1992;12.0555;11.9445;11.8465;11.7094;11.9576;11.938;11.8465;12.0229;12.0424;11.8988;12.0229;12.1469;11.618;12.0424;12.0751;12.0686;11.9706;12.0555;11.8922;12.1665;12.0686;11.9314;12.1861;12.0294;12.0555;11.938;
2500;12.1984;12.1024;11.8464;12.3264;11.8208;11.8208;11.9552;11.968;11.9296;12.0064;11.936;11.8656;11.8336;12.384;12.128;11.9808;11.9872;12.0768;12.096;12.1792;11.7952;12.1088;11.9488;11.8784;12.0128;12.128;12.1088;11.8784;11.5904;12.0512;11.9168;11.8592;12;11.8784;12.0448;12.1664;11.904;12.0448;11.9168;12.0384;11.7824;12.096;12.0512;12.1344;12.1856;11.8144;12.0192;12.0576;12.0064;11.9936;
2550;12.3294;11.9216;12.1725;11.84;12.1224;11.9843;11.8714;12.0471;12.0533;11.8839;11.9467;11.771;12.2541;12.1475;12.1349;12.022;11.978;12.2604;11.9906;11.6957;11.8965;11.8776;11.7271;12.0345;12.0722;12.0408;12.1349;11.8714;11.8086;11.909;12.022;12.0784;12.2792;12.0345;11.9153;12.1224;11.9718;11.9592;11.978;11.8776;12.0282;12.1224;11.9906;11.7961;12.0408;12.16;11.9404;12.0031;12.0345;11.9906;
2600;12;11.8523;11.9938;11.8585;12.0615;11.9815;11.9077;11.9385;12.0985;11.7723;12.0431;11.9385;12.1046;12.1108;12.0554;11.9508;12.1046;11.8462;12.0923;12.0615;11.7846;12.08;12.0738;11.7477;12.2769;11.9754;11.8954;11.9631;11.9815;11.8769;11.8892;11.84;12.1292;12.1354;12.2954;11.9262;12.0185;11.76;11.9138;12.0677;12.1785;11.8954;11.9262;11.84;12.1231;12.0185;12;12.0246;11.7785;12.0492;
2650;12.0392;11.8823;12.0574;11.9668;11.9909;11.8823;11.8943;11.9185;11.9004;11.8883;11.8883;12.1358;12.0936;11.9668;11.8943;11.9125;12.16;12.1057;12.0574;11.8219;12.0272;12.0151;12.1479;12.0453;11.8823;12.0996;11.6951;12.0513;12.0332;11.8038;11.9909;11.9426;11.6287;11.7011;12.0453;12.2445;11.9547;12.1358;12.0272;11.8702;12.2385;12.2023;12.1962;11.9668;11.846;11.9789;12.0996;11.8219;12.1117;12.1117;
2700;11.923;12.0119;12.1719;12.0237;11.9052;12.1067;11.8815;12.2252;12.0059;11.9644;11.8044;11.9407;12.1304;11.763;12.2904;12.077;12.0178;11.9941;12.1126;11.8933;11.9526;11.9822;11.8222;12.3141;11.9526;11.9348;12.0059;12.0415;12.0593;11.8933;12.077;11.8815;12.0474;11.9348;11.9704;12.0059;12.0059;12.0593;12.0593;12.1126;11.8341;12.0948;12.083;11.9052;11.9407;12.1541;12.0178;11.8044;12.1244;11.9052;
2750;11.7818;12.1309;12.1018;11.904;11.9971;11.8865;12.0902;12.096;11.9971;11.9215;11.9447;12.1076;11.8458;12.224;11.8051;12.0902;11.84;11.9098;12.0262;12.0029;12.032;12.2647;11.7818;12.0436;12.0087;12.096;11.9971;12.1484;12.1018;11.7353;11.9215;11.9505;11.9971;12.0669;12.16;11.7935;11.9564;11.9273;11.9505;12.1251;12.0262;11.8109;11.8865;11.968;11.9971;11.9505;12.1076;11.9622;11.8575;12.0262;
