n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
50;12.48;12.16;12.48;11.52;12.48;12.8;12.16;12.16;12.8;12.16;14.08;12.16;9.6;12.16;11.52;11.52;12.16;13.12;10.24;11.2;12.8;11.52;12.16;11.52;12.8;12.48;12.48;13.12;11.84;10.24;11.52;13.44;11.52;11.52;13.44;13.12;11.52;11.2;13.76;12.48;12.48;12.16;11.52;13.12;11.84;13.12;12.48;11.52;12.48;12.16;
100;11.84;13.12;12;12;12.32;11.68;12.8;12.16;12.16;12.48;12.32;13.12;10.88;12.32;12;12.16;11.04;12;12.96;11.2;13.12;13.6;11.68;12.8;11.52;10.72;10.56;12.96;11.04;11.84;12.48;12.48;11.52;11.04;12.16;11.52;12.32;11.2;12.32;12.8;12.8;12.48;10.24;12;10.72;11.84;12.48;11.04;12.8;12.8;
150;12.2667;11.9467;13.12;12.3733;11.6267;11.84;12.2667;11.2;11.9467;12.3733;12.16;12.48;11.4133;12.48;11.7333;11.84;12.16;11.84;11.2;11.4133;12.3733;11.84;11.52;12.0533;13.12;12.3733;12.16;13.3333;12.6933;12.2667;11.0933;11.2;11.3067;12.0533;12.48;12.8;11.3067;11.7333;12.0533;11.6267;12.2667;11.52;11.2;11.6267;12.16;11.7333;11.9467;12.9067;11.7333;12.16;
200;12.08;11.92;12.72;12.16;12.56;10.4;12.24;12.24;12.4;11.84;12.24;12.32;12.24;11.76;12.24;12.24;12;12.08;12.24;12.56;12.48;11.36;11.36;11.12;11.28;12.64;11.36;11.6;11.92;11.04;12;11.12;12.24;12.08;11.84;12.24;12.24;11.2;11.36;11.6;11.84;11.76;11.92;11.36;11.6;11.76;12.56;12;12.32;12.32;
250;11.904;11.584;12.096;11.968;12.416;12.032;11.52;11.968;11.84;12.416;11.84;11.52;12.736;11.136;12.032;12.096;12.416;11.456;12.224;12.288;12.096;12.096;11.904;12.096;12.224;12.864;12.928;12.224;12.48;11.904;11.456;11.392;11.968;11.456;12.416;12.288;11.904;11.328;12.736;12.032;11.648;12.288;11.712;11.776;11.456;11.328;11.328;11.648;12.544;12.608;
300;11.52;11.7867;12.16;11.68;11.7333;12.8533;11.84;11.9467;11.52;11.84;11.3067;12.64;11.9467;11.0933;11.8933;12.4267;12.8;11.7867;12.3733;12.16;12.0533;11.9467;11.8933;11.84;12.2133;12.64;12.32;11.84;12.48;12.16;12.32;11.7867;11.84;13.2267;11.52;11.5733;12.32;11.6267;11.7867;11.7333;11.7333;11.2;11.7333;11.2533;11.68;12.5333;12.0533;11.8933;12.48;11.4667;
350;12.0686;12.2514;12.3886;11.7486;12.2971;11.5657;12.5714;11.7943;12.5257;11.6114;12.2971;11.6114;12.5714;11.7943;11.7943;12.2971;12.2514;11.7029;11.3829;11.84;11.8857;12.3886;12.0686;11.84;11.9771;12.48;11.9314;12.3429;12.16;12.0229;11.1086;11.7029;12.2057;11.4286;11.8857;12.4343;11.1086;12.2971;12.16;11.7029;12.9371;11.2914;11.4743;11.9314;11.4743;11.9314;11.6571;11.7943;12.5714;12.16;
400;11.68;12;12.36;11.72;12.08;11.52;11.92;11.84;12.4;12.2;12.2;12.16;11.96;11.96;12.24;11.84;11.72;12.48;11.32;12.12;12.28;12.32;12.24;11.8;12.24;11.76;11.44;11.92;12.04;11.76;11.24;11.64;12.36;12;11.88;11.6;11.68;12.32;11.72;12.28;12.12;11.64;11.88;12.52;12.36;12.36;12;11.8;12.32;11.64;
450;11.8756;12.16;11.84;12.0889;12.16;11.2356;11.6978;12.0889;12.1956;12.6933;11.5911;12.1244;11.6978;12.3733;11.8044;11.6622;11.7689;12.0178;12.16;11.84;12.16;11.9111;11.6622;11.6978;12.1244;11.4133;12.3022;11.7689;12.1244;11.7689;12.5511;11.6267;12.3378;12.1956;12.48;12.1244;12.1244;11.4133;11.52;12.5511;11.4133;12.3378;12.5156;12.4089;11.9111;11.6978;12.0178;11.5556;11.4844;11.84;
500;11.872;12;12.128;11.872;12.224;12.16;12.448;11.872;12.032;11.84;12.352;12.032;12.192;12.416;12.192;11.456;11.744;12.064;11.84;11.968;11.968;11.936;12.16;12.416;11.712;11.968;11.904;11.904;11.616;12.032;12;12.544;12.224;11.36;11.84;12.096;11.52;12.096;12.32;11.84;11.872;12.032;12.512;12.256;12.16;11.776;12.352;11.744;12.416;11.616;
