1000,9917,13427,9506,10660,8792,8055,9423,9209,11543,9741,9157,9357,9287,9485,9043,11791,9974,8297,9106,10910,9498,8594,9448,9101,11241,9937,8756,10409,13743,10206,10684,9452,9729,12822,8411,8740,8279,8005,10244,7764,12148,8915,8871,9956,9314,7774,9930,11009,9280,10154,
2000,21376,24539,31744,21637,22677,19549,19193,23798,17985,19912,21554,24076,21164,19125,18562,23532,17939,19681,20574,18174,20862,20460,18566,20779,21980,21758,19210,26513,17681,21230,21408,21954,17661,17013,23961,17708,22365,24279,19091,19655,26248,20701,20755,24272,20620,18761,23129,26007,20239,20436,
3000,35988,35507,32545,33847,36913,31550,28871,38507,34290,32831,36358,26706,42251,37789,35177,33381,39939,27491,31334,35010,36000,28298,27153,38076,25659,36871,31168,33377,39266,27153,26711,39085,45059,33419,35596,39708,31649,31453,32688,29319,36121,31949,46684,31756,30816,29592,37912,31581,30777,32789,
4000,47877,37499,41302,38145,48888,43780,39398,42617,46025,42529,45649,45244,45026,43081,50437,45251,41847,49088,38900,44194,43377,47647,47136,37884,38489,43286,44596,39252,52053,39831,50381,47848,51804,53158,45452,43005,43827,41022,36974,38869,49367,56608,54439,39180,39321,41640,47761,51314,39337,45771,
5000,59763,52414,60599,70040,53353,56429,64684,58107,77737,63987,67034,68385,54556,63562,51275,64819,49427,59352,56502,58170,54830,61321,74999,55279,58833,73579,52954,51223,60430,74759,72328,50683,67933,56989,67914,54193,51286,52732,54109,53687,57759,57780,55152,90838,58541,53997,59284,63940,54998,50537,
6000,71547,55131,71915,81921,61526,58169,62183,80270,60739,82018,69173,63276,75079,73579,64671,63736,58296,73520,75954,80022,72928,76248,65322,59842,60604,69006,66681,67974,73619,72020,69634,66693,62432,63479,67066,88887,66973,62126,71160,68399,65772,64909,75554,69413,63379,72384,73371,65193,64281,68358,
7000,77837,75345,99127,75364,90416,109145,82619,103012,90565,88331,99790,89789,87505,79290,72953,82983,79236,88453,90999,82717,84747,81448,89147,89320,111550,112818,81668,104521,72368,98212,94447,81090,79034,87623,88011,95756,75255,75149,77448,71107,78192,73435,72959,72316,103926,82818,77624,84743,76645,106444,
8000,108909,81971,92048,102777,105796,98914,90763,99630,95226,85480,117382,114191,89809,95403,86959,84097,111664,99461,74467,90446,86863,94005,118565,96471,94996,81199,100159,102550,116359,86671,103769,99471,89316,90526,94340,90846,87908,99654,83551,108613,110204,88158,97489,129951,90880,78889,92702,94927,87213,83880,
9000,102005,119371,104564,99125,99870,104841,120785,100120,102847,94044,99320,102721,116788,117900,121328,112177,130844,108319,120661,113104,102880,95563,120423,104787,103919,96467,117946,100908,112013,103970,97598,97215,121631,99333,106352,109812,88638,143284,122324,112243,112074,96342,98343,97874,133538,107750,114773,125142,110744,113444,
10000,116564,103332,125111,134114,108183,135657,132274,135099,142071,172600,132826,127117,160887,157298,121859,156186,107123,108447,109946,125173,128353,123974,118015,111085,138384,125485,118705,138064,128371,107458,104607,121068,129682,126890,120345,133794,114267,117479,122487,102487,125759,130249,119137,116892,125585,148572,108008,134025,124908,126178,
11000,127049,126816,135904,156228,117759,133490,134729,128400,159012,172645,159185,142039,150623,119722,158306,124535,128182,137509,139065,174349,157203,140277,144066,129870,149259,129246,137418,136776,137430,131765,143495,145654,141432,124850,160561,150148,145627,159996,146188,120116,124573,135814,140186,141254,138721,184207,134018,129692,152079,132315,
12000,148603,145656,128853,158361,209186,150408,142563,131972,139356,148486,129996,151049,132997,145585,144531,168839,143241,144968,148295,136730,160384,141551,132527,145486,155331,130486,155117,149088,150159,155257,157882,139490,172701,183102,137058,162784,144008,182814,151980,160334,158595,149139,140989,130278,141587,176816,160995,145529,153674,138690,
13000,159169,171749,159981,175499,167944,143286,162887,172199,145790,157971,150686,161182,150091,142491,155031,143456,156771,163403,152726,157352,151940,160196,166165,164162,178792,185830,144207,134201,166087,172415,165763,179598,153734,176232,170300,160076,154691,194532,171963,158924,173809,149145,149311,164334,157360,163919,155203,168085,159052,175928,
14000,162115,200125,206148,191323,170631,163658,197013,178278,173104,175589,151404,182862,161194,170397,164589,200743,186221,186153,177267,160187,162027,184427,159623,163878,157652,189117,160815,185665,180465,175687,223082,156515,203688,175474,160120,175520,198842,171892,201276,187149,178504,157286,172961,212833,186004,184887,162770,162453,186882,197204,
15000,182613,186668,190902,191644,203494,181403,216487,191072,195105,184160,212972,182008,188150,234295,220001,192650,213008,185602,206533,171626,191135,186070,184648,171670,175032,229009,170309,166661,197063,172386,188279,171382,187392,161975,212768,216263,210865,162323,196697,189608,199484,173369,170315,183067,189997,161775,194801,219669,163521,206493,
16000,242954,209807,227869,186056,197110,180388,192908,212126,245838,196278,220030,227317,180468,187894,190984,177938,192837,195602,215306,188925,211193,212124,211017,192191,191153,192945,198305,207947,186020,211480,200153,183695,210076,197372,213572,220469,162653,229874,216389,248809,195853,222129,203190,180423,190646,195440,200860,200315,196400,173830,
17000,215683,225272,190288,186709,190415,195447,215182,223381,221030,239672,224406,219430,232175,231244,186132,301796,231059,247995,184803,230565,187506,235780,197369,214312,234949,225027,219222,250069,222506,236311,257256,207580,206357,222857,241740,214834,203139,202422,193350,245351,222554,240193,189030,194240,218993,244578,233132,213274,211493,243087,
18000,199835,249133,251861,206792,219398,281718,200502,287174,212007,231923,254833,240390,214229,239482,221688,205117,231803,222128,214213,217961,214919,216864,225489,238603,211494,255553,226870,221531,213053,251078,273025,234891,286251,238174,246447,244698,234682,229226,239790,202986,228907,250072,245295,207505,262460,229962,241965,199916,276232,221530,
19000,264567,237802,240398,243050,230977,242064,247085,231072,255777,242579,246775,273525,244164,234723,242908,257618,232748,287647,239939,241596,200282,281499,235036,237999,211291,262343,256220,220660,231865,206994,249146,244933,225110,221443,268636,262160,240232,236748,230646,247698,223756,234813,261784,254666,213749,225950,260070,217373,231672,245175,
20000,254431,242401,293916,233789,245906,321323,270482,259667,251848,226647,254279,236051,225804,229869,281798,266879,275515,249982,250335,270283,244263,260428,230260,239638,344904,265213,281475,280872,256467,235213,259471,287091,234431,227505,270204,254078,324279,258328,258884,242384,281781,244970,255776,301673,248388,277859,261039,267114,304017,258753,
21000,320898,301535,284631,260165,290719,289257,294670,269816,351459,264058,316685,278133,268485,298171,234523,258420,268262,291329,345740,280962,310077,265517,276579,341549,258781,254175,262186,308697,263991,318074,288089,237420,271476,267282,255441,252786,238073,254181,317464,283474,326146,253895,244227,300203,265575,256111,267796,313948,335453,269224,
22000,303098,257910,352834,248957,257461,312994,320435,301115,273757,358955,261957,276212,258688,251695,271792,255201,248638,299369,275717,305659,274256,311316,331728,305793,270960,296321,257522,247598,267980,275765,296336,320561,267981,274844,332561,269412,290520,366995,231420,300289,301622,274178,292263,275343,287638,287185,282409,257659,320292,281621,
23000,301871,240942,275164,290358,269423,308605,264395,299311,284141,294861,290224,286990,275736,287926,369995,274230,250811,290439,317890,357853,306225,315273,286918,282635,312219,279134,480539,293289,299843,297968,282764,274127,261526,275413,319347,335149,345689,326037,278772,322106,299530,334802,293176,276965,341978,277770,326333,300728,299174,310683,
24000,315951,330736,291956,301506,283160,313049,315953,411714,305739,325164,367579,295869,290327,285326,372315,317793,280177,298024,301839,297321,332079,330141,290122,280270,326027,282422,388223,302837,307924,297992,288801,330441,351065,301784,324131,319197,310210,349373,409558,320575,328835,299463,271041,303810,312839,317678,377118,272306,296643,300584,
25000,327680,307349,351774,307391,361850,362906,317466,374933,318019,334512,322898,380667,338321,308209,381890,290866,343942,295314,336281,332825,361325,330875,320433,325394,361526,310645,317192,351636,360531,293676,381296,356792,330193,296929,288411,295547,279918,323084,326753,431656,337316,382292,345606,298852,353496,350956,315771,345599,301257,344836,
26000,333548,397289,315224,308849,367108,341845,355620,349328,394130,344874,359334,339752,384611,319162,348570,325927,377638,368135,333710,343875,351804,381549,344860,359717,306723,320227,375620,314393,312064,314386,310124,368953,384136,388567,334362,321998,316036,349762,305452,400086,412744,332818,384008,364210,324262,417789,356758,333079,343248,352000,
27000,433840,338182,355888,322666,325599,369782,347051,382284,348450,358065,397325,419197,400195,341989,367256,357481,391543,359280,397596,329197,319516,328276,330097,378432,363560,314513,319118,315427,354627,314825,330093,347952,388548,307490,310342,365072,347281,348904,325588,314313,349537,362071,398109,350863,471940,390868,348281,373663,336839,365017,
28000,402802,351921,345963,389213,375448,386260,337668,394251,380123,385085,385088,391252,335447,392222,388608,372754,405391,387453,423446,411950,373886,345858,414259,399523,376334,359924,359767,374903,390670,355045,351960,338163,349427,333648,345463,358910,383103,365174,425673,431760,344064,482911,377723,359573,390683,397910,366258,342423,344737,450804,
29000,371638,452130,388260,362244,369983,396269,481465,416220,526063,440550,331016,321000,405794,410168,357867,445587,396114,414223,400186,361476,401393,506780,340630,488820,418352,396946,393381,380903,419860,371371,364344,401925,374954,386046,408464,358556,337655,436938,415793,376802,365651,382589,375242,481869,376088,431235,387293,394700,423074,385966,
30000,577020,426912,409194,398066,338718,363458,406990,589505,400614,417154,367810,461687,392047,420043,414541,346719,408612,389193,399473,379478,392213,423891,394667,368608,363586,435364,497617,447366,429075,363202,414438,395944,440752,375107,384982,426109,422821,394326,385724,352018,369461,394992,395541,376257,467309,371235,403856,501618,410714,431729,
31000,449178,376591,407632,464858,394274,467870,362573,397517,374336,358806,448495,371411,414050,443100,516674,367074,403395,422829,474569,408333,420168,433600,424682,482240,622182,377102,472188,399877,441599,523707,372579,402868,408127,404303,386703,418393,389398,371319,481876,423593,367535,364606,387288,432038,389002,382716,407911,372987,363924,392810,
32000,405951,461691,419190,443691,480689,508468,491956,389562,423714,460599,401270,460611,434770,385829,398805,474843,409869,393892,429554,400394,452949,431448,482316,445939,465666,440086,459110,424786,436286,409916,398791,411555,407221,375104,595556,406656,407917,397664,450502,446655,438980,473292,409970,467926,414785,473676,489619,471986,403763,384535,
33000,401756,390032,506376,530661,440395,555112,450649,450407,692989,491988,482665,532468,379193,456420,432762,415787,553432,420108,409003,388357,526063,422279,470067,437961,412003,403928,509793,411401,484714,521035,500886,423619,450741,451679,493943,403316,365346,442693,424893,476171,496541,430726,477388,439093,400427,479584,426495,419085,475231,410370,
34000,424548,397805,532083,396158,426397,419384,528157,395036,458133,417773,541775,411829,433929,447204,416568,469474,573093,421652,514358,387159,461211,612610,464725,415968,476787,506775,409718,469000,405867,429017,453871,510821,537774,422523,501068,530044,482703,429054,473799,390938,520201,384259,474636,422422,462215,491784,466816,475840,492447,443823,
35000,413963,480158,502649,523034,487768,423024,522179,589262,450062,436854,427083,420819,451434,471139,456670,513666,506675,519738,476305,487768,494244,457251,400955,487726,456587,524903,444077,469607,452825,420114,528188,615415,382926,423223,467579,478663,407080,507939,424264,571645,455829,490678,613484,429547,435569,439072,520299,523871,494260,567045,
