1000,6,5,6,5,5,5,5,5,5,5,6,5,5,5,6,5,5,6,6,6,6,5,5,5,5,5,5,6,7,7,5,7,6,5,7,5,6,5,6,5,5,5,5,6,5,6,6,6,6,5,
2000,8,7,5,6,7,6,7,6,7,5,5,6,7,5,7,6,6,5,5,5,6,5,5,6,5,5,6,7,6,6,5,6,7,5,5,6,6,5,6,6,5,5,6,6,6,7,6,6,5,6,
3000,6,6,6,6,5,5,5,7,6,5,6,6,6,6,6,7,7,6,6,6,6,5,7,6,6,5,5,5,6,7,6,6,5,7,6,6,6,6,5,6,6,6,6,6,6,5,5,7,6,6,
4000,7,6,7,7,5,5,6,5,6,6,6,6,7,7,7,6,7,6,6,7,7,5,6,6,6,7,6,7,6,7,6,7,6,7,7,7,6,6,6,6,7,6,8,6,6,6,6,6,6,7,
5000,7,6,6,7,6,6,6,6,7,6,6,6,6,6,6,7,6,6,7,6,6,6,7,6,5,6,6,7,6,6,6,7,6,7,5,7,6,7,6,7,6,8,6,6,6,5,6,7,6,7,
6000,6,6,7,7,6,6,8,6,6,6,6,6,6,7,8,8,6,8,6,8,7,6,6,6,7,6,6,6,7,7,5,7,6,7,6,6,6,6,6,6,7,5,7,8,6,6,6,7,6,6,
7000,6,6,7,7,6,6,7,7,7,6,7,8,6,6,9,7,6,7,6,7,7,7,7,7,7,6,6,8,6,6,6,6,8,6,6,8,6,6,5,6,7,7,6,6,7,6,7,7,7,7,
8000,7,7,7,7,9,6,7,7,6,7,7,7,7,6,6,7,7,6,6,6,6,7,6,9,6,7,6,6,6,8,7,6,6,6,6,6,7,6,6,6,7,6,6,7,7,6,7,7,8,8,
9000,6,7,7,7,6,7,6,7,7,7,6,6,7,7,6,6,7,7,7,7,7,7,6,6,7,6,6,7,7,7,7,8,6,7,6,6,8,6,6,6,6,6,6,6,6,8,7,6,6,6,
10000,6,6,6,7,6,6,6,9,6,6,7,7,6,7,6,8,7,6,6,6,6,8,6,8,7,6,6,7,6,6,6,7,6,7,8,6,6,6,7,6,7,7,6,7,6,6,6,6,7,8,
11000,7,7,7,7,6,7,7,7,7,6,6,6,6,7,6,7,6,7,7,7,6,7,6,6,6,8,6,7,8,7,7,6,6,6,6,7,6,7,6,8,6,7,7,6,6,7,7,6,6,7,
12000,7,7,7,7,8,6,7,7,7,8,8,7,7,7,7,6,7,7,7,7,6,7,7,7,6,8,6,7,6,8,7,7,7,8,7,7,7,7,6,7,7,7,6,6,7,6,6,6,6,6,
13000,7,6,7,7,7,7,6,7,6,7,6,7,8,7,6,7,6,6,7,6,7,8,7,6,7,7,7,8,7,7,6,6,6,7,6,7,7,8,7,7,6,7,7,8,7,7,9,7,7,6,
14000,7,7,8,6,6,7,6,7,8,7,7,7,7,7,6,7,7,8,7,6,7,6,7,7,7,7,7,8,6,6,6,6,7,7,6,6,6,7,6,9,8,7,6,8,6,6,7,8,7,6,
15000,7,6,6,7,7,6,7,7,7,6,8,7,7,7,7,8,8,6,7,7,8,7,6,6,7,7,6,7,7,8,7,7,7,9,6,7,7,6,7,6,7,6,7,7,6,7,7,7,6,7,
16000,7,6,7,7,6,7,6,8,7,7,7,7,7,7,7,6,7,7,6,7,7,7,6,8,7,8,6,7,6,6,7,6,7,6,8,7,7,6,8,7,7,6,6,6,8,7,6,7,7,7,
17000,6,8,8,7,7,7,6,7,7,6,7,6,7,6,6,6,7,8,6,8,7,7,6,7,7,8,7,6,7,7,6,7,6,7,7,7,7,7,7,6,7,6,6,6,8,7,7,6,7,7,
18000,7,7,6,7,7,7,8,7,7,6,8,6,6,7,7,6,7,7,7,7,7,7,7,7,6,8,7,7,8,7,9,7,7,7,6,7,6,9,7,7,7,7,8,6,6,7,7,6,7,7,
19000,8,7,6,6,7,8,8,8,8,7,7,7,7,7,7,7,7,8,7,6,6,8,7,7,7,7,9,7,7,7,6,8,7,7,6,7,7,8,8,8,7,7,7,7,7,7,6,7,8,7,
20000,7,7,7,7,7,7,7,8,8,8,8,7,7,9,6,7,6,8,6,8,6,6,8,7,7,7,6,7,8,6,6,9,7,7,8,7,7,7,7,7,9,7,8,7,7,7,7,7,8,7,
21000,7,7,6,7,6,7,6,8,7,7,9,8,6,8,8,6,7,7,6,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,8,7,8,7,7,7,7,7,7,7,7,7,7,7,8,8,
22000,7,8,9,7,9,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,8,7,6,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,6,7,7,7,7,7,6,7,8,
23000,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,6,8,8,7,9,7,6,6,8,7,8,8,7,7,7,9,8,8,7,7,9,6,6,7,
24000,8,7,8,7,7,8,8,8,7,7,7,6,9,7,7,7,7,6,7,9,8,7,7,8,6,7,9,6,8,7,7,7,7,8,7,9,6,7,7,6,7,8,7,6,7,7,7,7,7,7,
25000,7,7,7,9,7,7,7,6,7,7,7,6,8,7,7,7,6,7,8,7,8,8,7,8,8,7,7,7,7,8,7,7,6,7,6,6,8,6,7,8,6,7,7,7,7,7,8,7,7,7,
26000,8,8,7,6,7,8,7,8,7,7,7,7,7,8,7,7,8,7,7,7,8,8,7,7,7,7,7,8,6,7,6,8,7,7,7,7,7,7,6,8,7,7,6,7,7,7,7,7,6,7,
27000,7,7,8,8,7,7,6,7,7,7,7,8,6,8,6,8,7,7,7,7,7,8,7,7,7,7,6,7,8,8,7,9,7,7,7,7,8,7,6,7,8,8,7,7,7,7,7,7,7,7,
28000,7,7,8,7,8,7,7,7,7,7,7,7,6,7,7,7,8,7,8,7,7,8,7,8,7,7,7,8,7,7,7,8,7,8,7,7,7,8,7,7,7,7,6,7,7,7,6,7,7,7,
29000,7,7,6,7,8,7,7,7,7,7,10,7,6,7,7,7,8,8,7,8,7,7,8,7,8,8,7,7,7,7,7,7,7,7,7,6,7,7,7,8,7,7,7,6,8,7,8,7,7,7,
30000,7,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,8,6,7,8,7,7,7,7,7,7,8,8,7,8,7,8,7,7,8,7,7,7,7,7,8,6,7,6,8,7,7,7,7,6,
31000,9,6,7,6,7,7,7,7,7,6,7,6,7,8,8,6,7,7,8,8,7,6,7,7,7,7,7,8,6,8,7,7,6,7,7,8,7,6,6,9,7,7,6,8,7,7,9,7,7,8,
32000,7,7,7,7,8,7,7,7,8,7,8,7,7,7,8,8,7,7,7,8,7,8,6,7,8,8,7,8,7,7,7,7,8,8,7,7,8,7,7,7,7,7,9,7,7,7,8,7,7,7,
33000,7,7,7,8,8,8,7,8,6,7,9,8,7,8,7,7,7,7,7,7,8,7,7,6,7,6,7,8,7,7,8,7,7,8,9,7,7,7,6,7,7,7,7,8,7,8,8,6,8,7,
34000,7,7,10,7,7,9,8,8,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,8,8,7,7,7,7,6,7,7,6,8,8,7,7,7,7,8,8,8,8,7,9,
35000,7,8,7,8,7,7,7,7,7,8,7,7,7,6,7,7,7,7,7,8,10,7,7,9,7,7,8,7,7,7,7,8,9,7,7,7,9,7,7,7,7,9,7,8,7,7,8,7,6,7,
36000,7,7,7,7,9,8,8,7,9,7,9,8,7,9,9,7,8,7,7,8,7,7,8,8,7,7,7,9,8,8,7,7,7,6,7,7,7,7,8,7,7,7,7,7,7,7,7,8,8,7,
37000,7,8,8,8,8,8,7,8,8,7,7,7,9,7,6,9,7,8,7,7,7,6,7,8,7,7,8,7,8,9,7,8,7,7,6,8,8,7,7,8,7,7,7,8,7,7,7,8,7,8,
38000,7,7,6,7,7,7,7,7,9,7,8,7,7,8,7,7,8,8,6,6,7,7,6,7,6,8,8,7,7,7,8,7,7,7,7,7,8,6,8,7,10,7,7,7,7,8,7,8,7,7,
39000,6,7,7,7,7,7,7,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,7,7,7,7,8,7,8,6,7,7,7,8,7,7,8,8,6,7,8,7,7,7,7,
40000,8,7,7,7,7,8,7,7,7,7,8,8,7,8,7,7,7,7,9,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,8,7,8,7,7,7,8,6,8,8,7,7,7,7,
41000,7,8,8,8,8,7,7,7,9,7,7,9,8,7,8,7,8,7,7,7,8,7,7,8,7,7,7,8,6,8,8,8,7,8,6,7,8,8,7,8,7,7,7,8,7,7,7,8,8,7,
42000,7,7,7,8,8,8,8,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,8,7,7,9,7,8,8,8,8,8,7,
43000,8,8,8,8,7,7,7,6,7,7,7,8,7,7,7,7,7,8,7,7,7,8,7,7,7,7,9,7,7,8,7,8,7,7,7,7,7,6,7,8,8,7,7,7,7,7,7,8,7,8,
44000,7,8,7,7,7,7,6,7,7,8,8,8,8,7,8,7,8,7,8,7,7,7,7,7,7,9,8,7,7,7,7,7,7,7,7,7,8,8,8,7,7,8,8,7,7,9,7,7,8,7,
45000,7,7,8,7,7,8,7,8,7,7,7,8,7,9,8,7,7,8,8,6,8,8,9,7,7,8,9,7,10,7,7,8,7,7,7,7,7,7,7,7,8,7,8,7,7,7,9,8,7,8,
